paper_nr	song_name	title	year	cited_by	doi
0	Here Comes the Sun	Here comes the SU(N): multivariate quantum gates and gradients	2024	7	10.22331/q-2024-03-07-1275
1	Here Comes the Sun	'Here comes the (Turkish) bride': American consumer culture and the Turkish bridal industry	2024	0	10.1386/fspc_00092_1
2	Here Comes the Sun	Here Comes the STRAIN: Analyzing Defensive Pass Rush in American Football with Player Tracking Data	2024	3	10.1080/00031305.2023.2242442
3	Here Comes the Sun	HERE COMES THE MULTIPLEX! Notes for a 'Flipped' History of the Italian Film Market (1998-2015)	2024	0	10.26350/001200_000217
4	Here Comes the Sun	Here Comes the Change: The Role of Global and Domestic Factors in Post-Pandemic Inflation in Europe	2024	0	10.5089/9798400225789.001
5	Here Comes the Sun	But Here Comes the Water... -Dam-Induced Displacement and Resettlement in the Technological and Hydroelectric Landscapes of Portugal's New State (1933-1974)	2024	0	10.2478/host-2024-0016
6	Here Comes the Sun	"Quoting as a Reflection Technique in K. D. Vorobyov's Novella ""Here Comes the Giant..."""	2023	0	10.31857/S013161170026402-1
7	Here Comes the Sun	Here Comes the Cat Quietly Became Popular: Content Marketing in the New Media Era	2023	0	10.1007/978-981-99-1741-9_28
8	Here Comes the Sun	Attention, here comes the EU Data Act! A critical in-depth analysis of the Commission's 2022 Proposal	2022	7	
9	Here Comes the Sun	Austerity and the Precarity of Whiteness: Polish Characters in Stacey Gregg's Shibboleth (2015) and Rosemary Jenkinson's Here Comes the Night (2016)	2022	0	10.4324/9781003207474-11
10	Here Comes the Sun	"Here comes the large catfish ""jau"" Zungaro jahu (Ihering 1898) (Teleostei, Pimelodidae): a new alarming case of fish introduction in a high-endemism Neotropical ecoregion"	2022	0	10.1590/S2179-975X4322
11	Here Comes the Sun	Here Comes the Hot-Stepper: Hollywood Renaissance, Indie Film and Robert Altman's Comeback in the 1990s	2022	2	
12	Here Comes the Sun	'Here comes the story of the Hurricane': A case report of AL cardiac amyloidosis and myocardial bridging	2022	3	10.1093/ehjcr/ytac225
13	Here Comes the Sun	CELL BIOLOGY: Here comes the cavalry!	2021	0	10.1126/SCIENCE.371.6524.40-A
14	Here Comes the Sun	Here Comes the Junkies, Opioid Replacement Therapy in Rural Australia	2021	0	10.1097/JAN.0000000000000378
15	Here Comes the Sun	Here comes the dress: Daily resistance in Edwidge Danticat's The Dew Breaker	2021	0	10.4324/9780429354236-20
16	Here Comes the Sun	Here comes the summer	2021	0	
17	Here Comes the Sun	Here comes the flood, but not failure? Lessons to learn after the heavy rain and pluvial floods in germany 2021	2021	133	10.3390/w13213016
18	Here Comes the Sun	'Here Comes the Period of Hard and Long-lasting Diplomatic Struggles': Polish Diplomacy and the Concept of the Western Pact, 1936-1937	2021	0	10.1080/09592296.2021.1961486
19	Here Comes the Sun	"After three decades of neoliberal hegemony, here comes the ""populist moment""?"	2020	0	10.4000/mcv.13088
20	Here Comes the Sun	Here comes the flood! Stress effects of continuous and interval waterlogging periods during the growing season on Scots pine saplings	2020	14	10.1093/treephys/tpaa036
21	Here Comes the Sun	Here comes the sure	2020	0	
22	Here Comes the Sun	Here comes the flood	2020	0	
23	Here Comes the Sun	Here comes the new world	2020	0	10.53738/REVMED.2020.16.683.0428
24	Here Comes the Sun	Artificial Intelligence in IR-Here Comes the Heavy Lifting	2020	2	10.1016/j.jvir.2019.12.795
25	Here Comes the Sun	"Here comes the new one. Mass culture and western cultural patterns in the opinions and evaluations of the party and state authorities in Poland of the ""Gomulka era"" (1956 - 1970)"	2020	0	
26	Here Comes the Sun	ATMOSPHERIC SCIENCE: Here comes the flood	2019	0	10.1126/SCIENCE.366.6470.1209-E
27	Here Comes the Sun	Delivering information literacy via Facebook: Here comes the Spinach!	2019	1	10.18438/eblip29532
28	Here Comes the Sun	Here comes the water: Risk assessments, observation and knowledge of Ompundja village	2019	1	10.4102/JAMBA.V11I1.507
29	Here Comes the Sun	Terror in Christchurch: Here comes the 'Peace Train'	2019	0	10.1386/AJPC_00002_1
30	Here Comes the Sun	Bridging higher education and industrial needs: Here comes the specialist!	2019	0	
31	Here Comes the Sun	Cell Division: Here Comes the Kinesin Cavalry	2018	0	10.1016/j.cub.2018.07.054
32	Here Comes the Sun	Here Comes the Bad News: Doctor Robot Taking Over	2018	15	10.1007/s12369-017-0455-2
33	Here Comes the Sun	Here Comes the Sunshine: Industry's Payments to Cardiothoracic Surgeons	2017	19	10.1016/j.athoracsur.2016.06.053
34	Here Comes the Sun	Here comes the Son: Masayoshi Son and Saudi Arabia launch a monster technology fund	2017	0	
35	Here Comes the Sun	Biological labels: Here comes the spaser	2017	12	10.1038/nmat4943
36	Here Comes the Sun	Que viene el Coco: Here comes the Boogeyman	2017	0	10.4324/9781315680392
37	Here Comes the Sun	Here comes the rain: Assessing storm hazards vulnerability in Northeast Ohio	2017	5	10.1016/j.ijdrr.2017.07.004
38	Here Comes the Sun	Here comes the Doctor!: Sanitation guards, labor relations, and the formation of identity (1930s and 1940s)	2016	0	10.1590/1806-93472016v36n71_003
39	Here Comes the Sun	Fasten your seat belts: Here comes the Trump Administration	2016	0	
40	Here Comes the Sun	Here comes the summer!	2015	0	
41	Here Comes the Sun	Here Comes the Bride : Re-Envisioning the Wedding at Cana in the 12th Century	2015	0	10.1163/18712428-09502001
42	Here Comes the Sun	Here comes the flood......	2015	0	10.1080/03071375.2015.1138730
43	Here Comes the Sun	SoftBank: Here comes the Son	2015	0	
44	Here Comes the Sun	Here comes the cord	2014	0	10.5045/br.2014.49.4.209
